# IMD Rashtriya Panchang 1945 Saka Era (2023-2024 A.D.), English edition: the 'Principal
#   Festivals and Anniversaries' table (102 rows), machine-extracted from the text layer
#   of 'RP_1945SE.pdf' (India Meteorological Department, Positional Astronomy Centre; acquisition
#   record with URL + SHA-256 in ../raw/imd-rashtriya-panchang/manifest.json - the PDF is
#   not committed pending redistribution confirmation).
# Source class: official-published. Unlike the 1947 S.E. edition this PDF carries a real
#   text layer, so rows were parsed mechanically and then machine-verified: every printed
#   weekday matches the derived Gregorian date, the dates are strictly increasing, and the
#   S.E./K.E. era columns advance exactly at their month rollovers (Chaitra / Vaisakha).
# gregorianDate composes the printed day/month with the section-context year; printedDate
#   normalizes the printed day/month to 'DD Mon.' (day zero-padded, trailing period added
#   where the print omits it); printedWeekday is verbatim. festivals preserves the printed
#   comma-separated names, wrapped lines joined with a space.
# Saka/Kali dates are the printed luni-solar reckonings ('(ni)' = nija regular month,
#   '(ad)' = adhika intercalary month), day numbers zero-padded; sakaYear/kaliYear carry
#   the section-context era years.
row,gregorianDate,printedDate,printedWeekday,sakaDate,sakaYear,kaliDate,kaliYear,festivals,notes
1,2023-03-22,22 Mar.,Wed,01 Chaitra,1945,(ni) 08 Chaitra,5123,"Indian New Year's Day Chaitra Sukladi (Gudi Padava, Ugadi) Telugu New Year's Day Cheti Chand (Sindhi New Year's Day) Vasant Navaratrarambha",
2,2023-03-24,24 Mar.,Fri,03 Chaitra,1945,(ni) 10 Chaitra,5123,Gauri Tritiya (Gangaur) First day of Ramadan,
3,2023-03-28,28 Mar.,Tue,07 Chaitra,1945,(ni) 14 Chaitra,5123,Vasanti Pujarambha,
4,2023-03-29,29 Mar.,Wed,08 Chaitra,1945,(ni) 15 Chaitra,5123,"Oli Begins (Jain), Annapurna Puja",
5,2023-03-30,30 Mar.,Thu,09 Chaitra,1945,(ni) 16 Chaitra,5123,Rama Navami,
6,2023-04-04,04 Apr.,Tue,14 Chaitra,1945,(ni) 21 Chaitra,5123,Mahavira Jayanti,
7,2023-04-06,06 Apr.,Thu,16 Chaitra,1945,(ni) 23 Chaitra,5123,Oli Ends(Jain) First day of Passover (Pesach),
8,2023-04-07,07 Apr.,Fri,17 Chaitra,1945,(ni) 24 Chaitra,5123,Good Friday,
9,2023-04-08,08 Apr.,Sat,18 Chaitra,1945,(ni) 25 Chaitra,5123,Easter (Holy) Saturday,
10,2023-04-09,09 Apr.,Sun,19 Chaitra,1945,(ni) 26 Chaitra,5123,Easter Sunday,
11,2023-04-14,14 Apr.,Fri,24 Chaitra,1945,(ni) 01 Vaisakha,5124,"Cahitra Samkranti, Chadak Puja (Bengal) Cheiraoba (Manipur), Dr. B.R. Ambedkar Jayanti Vaisakhi (Punjab, Haryana, H.P., Delhi & Odisha) Mesha Samkranti (Odisha), Tamil New Year's Day Meshadi (T.N.), New Year of All India Nirayana (5124 K.E.) Calendar",
